@relation trainingData

@attribute cancelled {0, 1}
@attribute weight numeric
@attribute reward numeric
@attribute itemCount numeric

@data
0,0.28,1.35,1
0,10.0,49.14,4
0,25.93,73.97,7
1,28.65,55.53,7
1,28.520000000000003,110.86000000000001,9
0,61.87,90.72,14
0,53.089999999999996,134.11,12
0,12.99,86.34,6
0,46.19,231.34,17
0,27.669999999999998,85.97,9
0,29.75,115.14000000000001,8
0,14.49,60.17,5
0,7.459999999999999,32.45,3
0,8.61,27.0,3
0,15.36,40.79,4
1,37.5,92.19000000000001,10
0,27.180000000000003,131.94,10
0,29.93,73.60999999999999,8
0,6.65,27.57,2
1,51.03,209.86,16
0,9.58,41.66,3
0,27.65,148.38,13
1,31.909999999999997,109.74000000000001,9
0,35.26,132.79999999999998,10
1,44.63,147.48000000000002,13
1,48.94,207.17000000000002,15
0,34.49,180.98000000000002,13
1,51.53999999999999,170.25000000000003,16
1,43.43,160.81,13
0,38.199999999999996,83.92,9
1,52.32000000000001,132.89,14
0,28.83,98.22999999999999,7
1,29.1,133.01999999999998,10
0,20.379999999999995,80.13999999999999,7
1,36.510000000000005,162.21,13
0,35.9,130.51999999999998,11
0,15.73,69.67,6
0,22.0,30.490000000000002,6
0,24.55,69.64999999999999,8
1,39.6,168.33999999999997,13
0,51.199999999999996,124.02999999999999,14
0,31.810000000000002,108.39,9
0,23.1,106.97999999999999,6
0,31.189999999999998,86.49000000000001,9
1,49.92,85.52,12
1,45.32,154.12,13
0,24.689999999999998,62.97,7
0,18.22,39.3,5
0,25.18,113.55000000000001,10
0,17.76,27.32,4
0,49.78999999999999,86.84,11
0,36.64,100.02,10
1,40.61,95.41,9
0,43.199999999999996,109.32,12
0,7.51,40.92,3
0,35.15,141.54,12
1,42.040000000000006,168.25,14
0,29.7,125.07,8
1,33.29,225.32,16
1,27.23,114.27000000000001,10
0,31.07,110.97,9
0,10.32,0.36,2
1,49.089999999999996,91.14,11
0,43.400000000000006,214.96999999999997,16
0,35.97,185.26999999999998,15
0,52.81,102.73,12
0,15.89,65.18,7
1,38.08,92.97,11
0,43.93,107.88,9
0,29.24,67.66,8
1,47.879999999999995,181.80999999999997,16
0,57.41,170.0,14
0,38.53,167.14,12
1,55.73,150.66,15
0,27.34,62.9,7
0,11.68,43.04,4
1,62.02000000000001,163.07000000000002,15
1,41.790000000000006,121.36999999999999,11
0,26.59,111.4,9
0,36.03,104.97000000000001,10
1,42.92999999999999,124.23999999999998,11
0,35.4,54.54,7
0,36.44,86.12,9
0,20.0,66.17,6
0,25.65,67.07,10
0,15.18,100.41999999999999,7
0,13.14,33.81,3
0,37.83,157.94,13
0,12.8,28.39,3
0,12.09,54.59,5
0,40.18,69.38,9
0,49.38000000000001,121.66,13
0,11.81,27.75,3
0,38.43,144.57,11
0,30.900000000000002,131.78,9
0,30.69,65.49000000000001,9
0,44.879999999999995,83.91,9
1,44.23,132.24,11
0,32.76,137.09,12
0,23.16,38.31,5
0,25.09,128.34,10
0,32.19,94.15,9
0,33.15,115.69000000000001,10
1,27.580000000000002,80.96000000000001,7
1,11.16,40.44,3
0,42.16,82.53999999999999,10
